dimension,key,runs,completeRuns,wins,ties,losses,winRate,wilsonLow,wilsonHigh,meanDelta,medianDelta,medianRelativeDelta,meanBootstrapLow,meanBootstrapHigh,medianBootstrapLow,medianBootstrapHigh,p99WithinTenPercent,relevant
profile,adaptive-lhs-11||4,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
payload,adaptive-lhs-11||100,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
buffer,adaptive-lhs-11||16,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
capacity,adaptive-lhs-11||10,1,1,0,0,1,0,0,0.7934567085261071,5,5,0.13513513513513514,5,5,5,5,false,false
overall,adaptive-lhs-12,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
placement,adaptive-lhs-12||random-balanced,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
profile,adaptive-lhs-12||4,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
payload,adaptive-lhs-12||100,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
buffer,adaptive-lhs-12||16,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
capacity,adaptive-lhs-12||10,1,1,1,0,0,1,0.20654329147389294,1,-1,-1,-0.02702702702702703,-1,-1,-1,-1,true,false
placement,per-source-lossless||random-balanced,5,5,0,5,0,0,0,0.43449149475208104,0,0,0,0,0,0,0,true,false
buffer,per-source-lossless||16,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
profile,adaptive-lhs-01||2,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,adaptive-lhs-02||2,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,adaptive-lhs-05||2,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,per-source-lossless||2,4,4,0,4,0,0,0,0.48990002040399916,0,0,0,0,0,0,0,true,false
placement,advisor-overdrive-a1.05||random-balanced,4,4,0,3,1,0,0,0.48990002040399916,32.5,0,0,0,97.5,0,130,true,false
profile,advisor-overdrive-a1.05||2,4,4,0,4,0,0,0,0.48990002040399916,0,0,0,0,0,0,0,true,false
buffer,advisor-overdrive-a1.05||16,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,per-source-lossless||128,3,3,0,3,0,0,0,0.5615060804490177,0,0,0,0,0,0,0,true,false
capacity,per-source-lossless||20,3,3,0,3,0,0,0,0.5615060804490177,0,0,0,0,0,0,0,true,false
overall,selected-adaptive-oracle,4,4,0,3,1,0,0,0.48990002040399916,0.25,0,0,0,0.75,0,1,true,false
placement,selected-adaptive-oracle||random-balanced,3,3,0,2,1,0,0,0.5615060804490177,0.3333333333333333,0,0,0,1,0,1,true,false
profile,selected-adaptive-oracle||2,3,3,0,3,0,0,0,0.5615060804490177,0,0,0,0,0,0,0,true,false
payload,selected-adaptive-oracle||100,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,selected-adaptive-oracle||128,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
capacity,selected-adaptive-oracle||20,3,3,0,2,1,0,0,0.5615060804490177,0.3333333333333333,0,0,0,1,0,1,true,false
buffer,advisor-overdrive-a1.05||128,3,3,0,2,1,0,0,0.5615060804490177,43.333333333333336,0,0,0,130,0,130,true,false
capacity,advisor-overdrive-a1.05||20,3,3,0,2,1,0,0,0.5615060804490177,43.333333333333336,0,0,0,130,0,130,true,false
placement,max-rate-recovery||random-balanced,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,max-rate-recovery||2,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,max-rate-recovery||128,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,max-rate-recovery||20,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
placement,member-formula-rate||random-balanced,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
profile,member-formula-rate||2,3,3,0,3,0,0,0,0.5615060804490177,0,0,0,0,0,0,0,true,false
buffer,member-formula-rate||128,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
capacity,member-formula-rate||20,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
placement,no-recovery-max-rate||random-balanced,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,no-recovery-max-rate||2,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,no-recovery-max-rate||128,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,no-recovery-max-rate||20,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
payload,per-source-lossless||1000,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
payload,selected-adaptive-oracle||1000,3,3,0,2,1,0,0,0.5615060804490177,0.3333333333333333,0,0,0,1,0,1,true,false
payload,advisor-overdrive-a1.05||1000,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
payload,member-formula-rate||1000,2,2,0,2,0,0,0,0.6576280471103807,0,0,0,0,0,0,0,true,false
buffer,per-source-lossless||32,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,per-source-lossless||5,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
placement,selected-adaptive-oracle||rack-compact,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,selected-adaptive-oracle||32,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,selected-adaptive-oracle||5,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,advisor-overdrive-a1.05||32,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,advisor-overdrive-a1.05||5,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
buffer,member-formula-rate||32,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
capacity,member-formula-rate||5,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
profile,selected-adaptive-oracle||8,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.001953125,1,1,1,1,true,false
buffer,selected-adaptive-oracle||16,1,1,0,0,1,0,0,0.7934567085261071,1,1,0.001953125,1,1,1,1,true,false
overall,adaptive-feedback-d1,2,2,0,0,2,0,0,0.6576280471103807,94,24,0.046875,24,164,24,164,false,false
placement,adaptive-feedback-d1||random-balanced,2,2,0,0,2,0,0,0.6576280471103807,94,24,0.046875,24,164,24,164,false,false
profile,adaptive-feedback-d1||8,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
payload,adaptive-feedback-d1||1000,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
buffer,adaptive-feedback-d1||16,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
capacity,adaptive-feedback-d1||20,2,2,0,0,2,0,0,0.6576280471103807,94,24,0.046875,24,164,24,164,false,false
overall,adaptive-feedback-d4,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
placement,adaptive-feedback-d4||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
profile,adaptive-feedback-d4||8,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
payload,adaptive-feedback-d4||1000,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
buffer,adaptive-feedback-d4||16,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
capacity,adaptive-feedback-d4||20,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
overall,adaptive-feedback-d8,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
placement,adaptive-feedback-d8||random-balanced,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
profile,adaptive-feedback-d8||8,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
payload,adaptive-feedback-d8||1000,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
buffer,adaptive-feedback-d8||16,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
capacity,adaptive-feedback-d8||20,1,1,0,0,1,0,0,0.7934567085261071,24,24,0.046875,24,24,24,24,true,false
payload,per-source-lossless||10000,1,1,0,1,0,0,0,0.7934567085261071,0,0,0,0,0,0,0,true,false
payload,advisor-overdrive-a1.05||10000,1,1,0,0,1,0,0,0.7934567085261071,130,130,0.08632138114209828,130,130,130,130,true,false
profile,adaptive-feedback-d1||4,1,1,0,0,1,0,0,0.7934567085261071,164,164,0.10889774236387782,164,164,164,164,false,false
payload,adaptive-feedback-d1||10000,1,1,0,0,1,0,0,0.7934567085261071,164,164,0.10889774236387782,164,164,164,164,false,false
buffer,adaptive-feedback-d1||128,1,1,0,0,1,0,0,0.7934567085261071,164,164,0.10889774236387782,164,164,164,164,false,false
